FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
GRANTS,0Y28,LONG TERM CARE OMBUDSMAN PROGRAM - CMP,50,DFSS,2836,LONG TERM CARE OMBUDSMAN,6,SALARY PROVISION,120000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,12500.00
GRANTS,0Y23,AREA PLAN ON AGING,50,DFSS,2903,AREA PLAN ON AGING - STATE,135,DELEGATE AGENCIES,3543373.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,140,PROFESSIONAL AND TECHNICAL SERVICES,234326.00
GRANTS,0T87,LONG TERM CARE OMBUDSMAN - CMP,50,DFSS,2836,LONG TERM CARE OMBUDSMAN,6,SALARY PROVISION,116974.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9262,EITC,850000.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,149,SOFTWARE MAINTENANCE AND LICENSING,12011.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,196,DATA CIRCUITS,1631000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,232749404.00
LOCAL,0740,O HARE REVENUE FUND,33,DHR,2005,HUMAN RESOURCES,140,PROFESSIONAL AND TECHNICAL SERVICES,5950.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,190,TELEPHONE - NON-CENTREX BILLINGS,19500.00
LOCAL,0314,SEWER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,25214.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,12,CONTRACT WAGE - PREVAILING RATE,2346.00
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,424,FURNITURE AND FURNISHINGS,5000.00
GRANTS,0V84,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,6,SALARY PROVISION,3128000.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,350,STATIONERY AND OFFICE SUPPLIES,37686.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,348,BOOKS AND RELATED MATERIAL,2948.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPLIES,9000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,181,MOBILE COMMUNICATION SERVICES,138398.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,519.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2510,FAIR HOUSING,190,TELEPHONE - NON-CENTREX BILLINGS,3000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,245,REIMBURSEMENT TO TRAVELERS,7500.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,30353000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,5500.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,130,POSTAGE,500.00
GRANTS,0X61,BIOTERRORISM PREPAREDNESS RESPONSE PLANN,41,HEALTH,2829,BIOTERRORISM RESPONSE,270,LOCAL TRANSPORTATION,1290.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,166,DUES  SUBSC & MEM,5350.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,15,SCHEDULE SALARY ADJUSTMENTS,8755.00
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,15,SCHEDULE SALARY ADJUSTMENTS,17052.00
LOCAL,0740,O HARE REVENUE FUND,57,CPD,1005,Chicago Police Department,22,DUTY AVAILABILITY,558000.00
LOCAL,0314,SEWER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,96787.00
GRANTS,0Y29,OAA NUTRITION PROGRAM INCOME - CON. MEAL,50,DFSS,2801,OAA NUTRITION PGM INCOME,140,PROFESSIONAL AND TECHNICAL SERVICES,445000.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,5,SALARIES AND WAGES - ON PAYROLL,116946046.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,152,ADVERTISING,13500.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPLIES,8000.00
GRANTS,0T81,EARLY HEAD START - CHILD PARTNERSHIP,50,DFSS,2956,EHS - Child Care Partnership,270,LOCAL TRANSPORTATION,250.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9121,LOBBYIST COSTS,480000.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,178,FREIGHT AND EXPRESS CHARGES,4001.00
GRANTS,0Z71,BJA BODY WORN CAMERAS,57,CPD,280H,BJA Body Worn Cameras,140,PROFESSIONAL AND TECHNICAL SERVICES,605000.00
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,2648415.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,1485.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,15,SCHEDULE SALARY ADJUSTMENTS,53222.00
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2817,DISABLED YOUTH EMPLOYMENT PROG,330,FOOD,3250.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,130,POSTAGE,200.00
LOCAL,0300,VEHICLE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,772628.00
GRANTS,0X63,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,140,PROFESSIONAL AND TECHNICAL SERVICES,27640.00
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,5,SALARIES AND WAGES - ON PAYROLL,2163784.00
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,270,LOCAL TRANSPORTATION,9774.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,393417.00
LOCAL,0200,WATER FUND,38,FFM,2140,FLEET OPERATIONS,161,MAINT FACILITIES,50000.00
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,270,LOCAL TRANSPORTATION,1000.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,162,REPAIR/MAINT EQUIPMENT,100.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,197,TELEPHONE - MAINTENANCE,1310.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,446,PURCHASE - DATA HARDWARE,1739600.00
LOCAL,0200,WATER FUND,35,DPS,2005,PROCUREMENT SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,1834.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,340,MATERIAL AND SUPPLIES,1246884.00
GRANTS,0T88,LONG TERM CARE SYSTEM DEVELOPMENT,50,DFSS,2820,LONGTERM CARE SYSTEM DEVELOP,140,PROFESSIONAL AND TECHNICAL SERVICES,3000.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,152,ADVERTISING,9000.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,348,BOOKS AND RELATED MATERIAL,6435.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,180.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,5,SALARIES AND WAGES - ON PAYROLL,971163.00
