namelsad10,Number_of_Requests,Household_Income,color
Census Tract 1001,2743,50767,#574249
Census Tract 1002,3270,10135,#985356
Census Tract 1003,3354,15620,#574249
Census Tract 1004,1589,11261,#ad9ea5
Census Tract 1005,3442,11618,#985356
Census Tract 1006,3136,8520,#985356
Census Tract 1007,2619,7708,#c85a5a
Census Tract 101,989,9413,#b0d5df
Census Tract 102.01,1531,15700,#627f8c
Census Tract 102.02,1019,6218,#e8e8e8
Census Tract 103,1431,14650,#627f8c
Census Tract 104,939,8612,#b0d5df
Census Tract 105.01,688,7180,#e8e8e8
Census Tract 105.02,791,4818,#e8e8e8
Census Tract 105.03,769,8175,#e8e8e8
Census Tract 106,1868,10050,#ad9ea5
Census Tract 107.01,1374,10727,#ad9ea5
Census Tract 107.02,1229,4828,#e4acac
Census Tract 1101,3156,13181,#574249
Census Tract 1102,1437,12207,#ad9ea5
Census Tract 1103,2868,8111,#c85a5a
Census Tract 1104,2260,12047,#985356
Census Tract 1105.01,2447,6440,#c85a5a
Census Tract 1105.02,1930,9782,#ad9ea5
Census Tract 1201,4598,17290,#574249
Census Tract 1202,3800,15601,#574249
Census Tract 1203,4048,16289,#574249
Census Tract 1204,2696,9543,#985356
Census Tract 1301,2624,12283,#985356
Census Tract 1302,1046,15360,#64acbe
Census Tract 1303,1932,6377,#e4acac
Census Tract 1401,907,8896,#b0d5df
Census Tract 1402,1817,12155,#ad9ea5
Census Tract 1403.01,918,8222,#b0d5df
Census Tract 1403.02,1359,9558,#ad9ea5
Census Tract 1404,2991,12985,#574249
Census Tract 1405,1555,11032,#ad9ea5
Census Tract 1406.01,948,7921,#e8e8e8
Census Tract 1406.02,1773,10186,#ad9ea5
Census Tract 1407.01,1008,6447,#e8e8e8
Census Tract 1407.02,1962,8292,#985356
Census Tract 1408,2726,10280,#985356
Census Tract 1502,3639,14003,#574249
Census Tract 1503,3991,8757,#985356
Census Tract 1504.01,2996,10251,#985356
Census Tract 1504.02,3282,9878,#985356
Census Tract 1505.01,1605,8112,#e4acac
Census Tract 1505.02,2217,14381,#574249
Census Tract 1506,1997,9475,#985356
Census Tract 1507,2402,11917,#985356
Census Tract 1508,2227,11385,#985356
Census Tract 1510.01,887,9834,#b0d5df
Census Tract 1510.02,1866,5565,#e4acac
Census Tract 1511,2122,8980,#985356
Census Tract 1512,1848,9381,#ad9ea5
Census Tract 1601,1780,11331,#ad9ea5
Census Tract 1602,2397,18722,#574249
Census Tract 1603,1928,11325,#ad9ea5
Census Tract 1604,4769,8148,#c85a5a
Census Tract 1605.01,1744,9768,#ad9ea5
Census Tract 1605.02,1447,7034,#e4acac
Census Tract 1606.01,1305,10449,#ad9ea5
Census Tract 1606.02,1541,8584,#ad9ea5
Census Tract 1607,2780,14996,#574249
Census Tract 1608,3220,8765,#985356
Census Tract 1609,1993,11016,#985356
Census Tract 1610,1491,11203,#ad9ea5
Census Tract 1611,1305,29514,#627f8c
Census Tract 1612,1099,9996,#b0d5df
Census Tract 1613,1839,6239,#e4acac
Census Tract 1701,481,9013,#b0d5df
Census Tract 1702,2042,9477,#985356
Census Tract 1703,2732,7347,#c85a5a
Census Tract 1704,2201,10873,#985356
Census Tract 1705,2681,8475,#985356
Census Tract 1706,1278,7167,#e4acac
Census Tract 1707,1272,8818,#ad9ea5
Census Tract 1708,1779,8107,#e4acac
Census Tract 1709,687,6953,#e8e8e8
Census Tract 1710,3800,18101,#574249
Census Tract 1711,1995,7440,#c85a5a
Census Tract 1801,2851,16260,#574249
Census Tract 1901,930,7530,#e8e8e8
Census Tract 1902,1897,7920,#e4acac
Census Tract 1903,2495,5768,#c85a5a
Census Tract 1904.01,1856,10583,#ad9ea5
Census Tract 1904.02,2182,5935,#c85a5a
Census Tract 1906.01,1343,16087,#627f8c
Census Tract 1906.02,2051,9181,#985356
Census Tract 1907.01,1067,6544,#e8e8e8
Census Tract 1907.02,1361,8005,#e4acac
Census Tract 1908,2101,5796,#c85a5a
Census Tract 1909,769,9810,#b0d5df
Census Tract 1910,1001,8578,#b0d5df
Census Tract 1911,2853,4684,#c85a5a
Census Tract 1912,1261,6000,#e4acac
Census Tract 1913.01,1934,7401,#e4acac
Census Tract 1913.02,1752,8992,#ad9ea5
Census Tract 2001,1811,7272,#e4acac
Census Tract 2002,2064,6954,#c85a5a
Census Tract 2003,939,10706,#b0d5df
Census Tract 2004.01,1015,10330,#b0d5df
Census Tract 2004.02,1228,14007,#627f8c
Census Tract 201,1142,19483,#64acbe
Census Tract 202,3496,16608,#574249
Census Tract 203.01,1372,13797,#627f8c
Census Tract 203.02,2000,13273,#574249
Census Tract 204,1402,11201,#ad9ea5
Census Tract 205,1573,4814,#e4acac
Census Tract 206.01,2013,13561,#574249
Census Tract 206.02,1928,9316,#ad9ea5
Census Tract 207.01,1193,13660,#627f8c
Census Tract 207.02,2585,8125,#c85a5a
Census Tract 208.01,2120,8920,#985356
Census Tract 208.02,2331,8956,#985356
Census Tract 209.01,1451,5619,#e4acac
Census Tract 209.02,1069,5875,#e8e8e8
Census Tract 2101,3161,10872,#985356
Census Tract 2104,1279,13924,#627f8c
Census Tract 2105.01,1328,7523,#e4acac
Census Tract 2105.02,1424,8441,#ad9ea5
Census Tract 2106.01,1549,14204,#627f8c
Census Tract 2106.02,2528,12008,#985356
