namelsad10,All Requests,Aircraft Noise Complaint,Pothole in Street Complaint,Rodent Baiting/Rat Complaint,Weed Removal Request,Street Light Out Complaint,Graffiti Removal Request
Census Tract 1001,2743,15.0,324,72.0,9.0,286.0,91.0
Census Tract 1002,3270,13.0,440,79.0,2.0,385.0,53.0
Census Tract 1003,3354,51.0,411,137.0,68.0,270.0,55.0
Census Tract 1004,1589,14.0,311,35.0,14.0,209.0,3.0
Census Tract 1005,3442,470.0,590,35.0,8.0,386.0,40.0
Census Tract 1006,3136,15.0,233,180.0,24.0,511.0,74.0
Census Tract 1007,2619,3.0,337,250.0,5.0,335.0,9.0
Census Tract 101,989,,53,120.0,1.0,93.0,44.0
Census Tract 102.01,1531,1.0,93,201.0,6.0,57.0,123.0
Census Tract 102.02,1019,1.0,56,58.0,7.0,184.0,139.0
Census Tract 103,1431,5.0,92,118.0,5.0,184.0,121.0
Census Tract 104,939,,86,46.0,1.0,53.0,173.0
Census Tract 105.01,688,,40,48.0,,29.0,130.0
Census Tract 105.02,791,,60,30.0,3.0,50.0,207.0
Census Tract 105.03,769,2.0,57,41.0,1.0,39.0,176.0
Census Tract 106,1868,15.0,157,97.0,2.0,160.0,352.0
Census Tract 107.01,1374,32.0,138,154.0,1.0,63.0,93.0
Census Tract 107.02,1229,,83,116.0,3.0,88.0,185.0
Census Tract 1101,3156,29.0,419,168.0,10.0,328.0,93.0
Census Tract 1102,1437,1.0,173,77.0,12.0,139.0,75.0
Census Tract 1103,2868,73.0,415,301.0,7.0,344.0,34.0
Census Tract 1104,2260,8.0,358,211.0,40.0,163.0,49.0
Census Tract 1105.01,2447,13.0,355,238.0,13.0,213.0,58.0
Census Tract 1105.02,1930,4.0,355,112.0,16.0,178.0,200.0
Census Tract 1201,4598,1830.0,476,72.0,22.0,402.0,33.0
Census Tract 1202,3800,727.0,563,43.0,19.0,361.0,45.0
Census Tract 1203,4048,67.0,703,278.0,26.0,333.0,148.0
Census Tract 1204,2696,9.0,434,152.0,19.0,286.0,149.0
Census Tract 1301,2624,,333,129.0,21.0,253.0,134.0
Census Tract 1302,1046,,115,5.0,16.0,114.0,52.0
Census Tract 1303,1932,28.0,195,108.0,1.0,293.0,131.0
Census Tract 1401,907,1.0,80,40.0,3.0,43.0,239.0
Census Tract 1402,1817,,110,44.0,3.0,117.0,630.0
Census Tract 1403.01,918,,159,12.0,,37.0,231.0
Census Tract 1403.02,1359,7.0,107,39.0,5.0,124.0,206.0
Census Tract 1404,2991,,453,262.0,20.0,138.0,172.0
Census Tract 1405,1555,1.0,235,153.0,4.0,105.0,129.0
Census Tract 1406.01,948,1.0,84,65.0,1.0,74.0,123.0
Census Tract 1406.02,1773,89.0,192,70.0,4.0,186.0,221.0
Census Tract 1407.01,1008,,77,37.0,,42.0,306.0
Census Tract 1407.02,1962,11.0,260,119.0,4.0,162.0,358.0
Census Tract 1408,2726,24.0,265,131.0,3.0,241.0,434.0
Census Tract 1502,3639,27.0,428,190.0,22.0,281.0,363.0
Census Tract 1503,3991,53.0,475,274.0,4.0,473.0,178.0
Census Tract 1504.01,2996,506.0,272,218.0,4.0,327.0,92.0
Census Tract 1504.02,3282,1246.0,125,140.0,4.0,299.0,120.0
Census Tract 1505.01,1605,2.0,167,193.0,3.0,131.0,22.0
Census Tract 1505.02,2217,30.0,179,239.0,3.0,204.0,73.0
Census Tract 1506,1997,1.0,133,184.0,2.0,198.0,129.0
Census Tract 1507,2402,,193,192.0,3.0,272.0,104.0
Census Tract 1508,2227,,297,205.0,23.0,190.0,129.0
Census Tract 1510.01,887,,42,65.0,2.0,93.0,55.0
Census Tract 1510.02,1866,,152,108.0,2.0,189.0,160.0
Census Tract 1511,2122,,146,163.0,1.0,220.0,172.0
Census Tract 1512,1848,1.0,169,180.0,3.0,164.0,165.0
Census Tract 1601,1780,22.0,272,139.0,7.0,72.0,171.0
Census Tract 1602,2397,1.0,354,109.0,10.0,163.0,442.0
Census Tract 1603,1928,,310,200.0,14.0,93.0,175.0
Census Tract 1604,4769,875.0,510,371.0,8.0,509.0,393.0
Census Tract 1605.01,1744,,215,169.0,3.0,165.0,200.0
Census Tract 1605.02,1447,,185,82.0,2.0,180.0,188.0
Census Tract 1606.01,1305,,123,95.0,2.0,30.0,171.0
Census Tract 1606.02,1541,1.0,199,126.0,2.0,102.0,154.0
Census Tract 1607,2780,,184,170.0,4.0,312.0,530.0
Census Tract 1608,3220,,488,416.0,8.0,262.0,511.0
Census Tract 1609,1993,,200,131.0,5.0,128.0,228.0
Census Tract 1610,1491,,220,131.0,3.0,104.0,164.0
Census Tract 1611,1305,1.0,163,52.0,4.0,95.0,186.0
Census Tract 1612,1099,,72,78.0,20.0,99.0,118.0
Census Tract 1613,1839,1.0,89,142.0,12.0,231.0,379.0
Census Tract 1701,481,,60,7.0,25.0,62.0,16.0
Census Tract 1702,2042,,229,239.0,3.0,250.0,93.0
Census Tract 1703,2732,1.0,394,70.0,4.0,363.0,72.0
Census Tract 1704,2201,,172,87.0,4.0,255.0,42.0
Census Tract 1705,2681,10.0,228,41.0,6.0,360.0,52.0
Census Tract 1706,1278,7.0,139,16.0,,193.0,29.0
Census Tract 1707,1272,2.0,105,86.0,1.0,178.0,35.0
Census Tract 1708,1779,1.0,298,92.0,9.0,160.0,50.0
Census Tract 1709,687,,97,62.0,3.0,75.0,8.0
Census Tract 1710,3800,1.0,363,257.0,5.0,405.0,155.0
Census Tract 1711,1995,1.0,121,220.0,7.0,169.0,191.0
Census Tract 1801,2851,1.0,390,142.0,18.0,363.0,89.0
Census Tract 1901,930,,147,41.0,,35.0,146.0
Census Tract 1902,1897,,232,85.0,3.0,158.0,153.0
Census Tract 1903,2495,,242,201.0,2.0,245.0,342.0
Census Tract 1904.01,1856,2.0,134,193.0,9.0,228.0,173.0
Census Tract 1904.02,2182,,181,212.0,6.0,204.0,316.0
Census Tract 1906.01,1343,,160,25.0,1.0,127.0,133.0
Census Tract 1906.02,2051,,178,173.0,2.0,178.0,147.0
Census Tract 1907.01,1067,,147,86.0,,78.0,76.0
Census Tract 1907.02,1361,,95,89.0,5.0,120.0,110.0
Census Tract 1908,2101,,158,211.0,1.0,111.0,130.0
Census Tract 1909,769,,92,46.0,,55.0,62.0
Census Tract 1910,1001,,140,17.0,7.0,49.0,149.0
Census Tract 1911,2853,,292,306.0,16.0,210.0,322.0
Census Tract 1912,1261,,126,95.0,8.0,76.0,146.0
Census Tract 1913.01,1934,1.0,301,71.0,11.0,170.0,232.0
Census Tract 1913.02,1752,,237,90.0,15.0,101.0,241.0
Census Tract 2001,1811,1.0,208,162.0,4.0,166.0,184.0
Census Tract 2002,2064,,243,85.0,3.0,224.0,191.0
Census Tract 2003,939,,137,52.0,1.0,50.0,157.0
Census Tract 2004.01,1015,,30,69.0,2.0,61.0,153.0
Census Tract 2004.02,1228,1.0,132,35.0,7.0,52.0,148.0
Census Tract 201,1142,1.0,152,70.0,4.0,114.0,85.0
Census Tract 202,3496,1.0,436,342.0,6.0,362.0,121.0
Census Tract 203.01,1372,2.0,160,94.0,2.0,177.0,81.0
Census Tract 203.02,2000,3.0,150,178.0,1.0,263.0,193.0
Census Tract 204,1402,,129,198.0,,113.0,96.0
Census Tract 205,1573,,103,177.0,1.0,165.0,110.0
Census Tract 206.01,2013,,196,207.0,2.0,237.0,84.0
Census Tract 206.02,1928,,182,172.0,1.0,186.0,110.0
Census Tract 207.01,1193,2.0,181,34.0,1.0,77.0,141.0
Census Tract 207.02,2585,,400,61.0,2.0,194.0,170.0
Census Tract 208.01,2120,,221,91.0,1.0,215.0,254.0
Census Tract 208.02,2331,,264,101.0,4.0,170.0,220.0
Census Tract 209.01,1451,,171,134.0,1.0,133.0,153.0
Census Tract 209.02,1069,,269,71.0,,121.0,76.0
Census Tract 2101,3161,1.0,179,119.0,6.0,351.0,1140.0
Census Tract 2104,1279,,167,66.0,4.0,189.0,139.0
Census Tract 2105.01,1328,1.0,64,46.0,10.0,122.0,428.0
Census Tract 2105.02,1424,,61,184.0,2.0,89.0,323.0
Census Tract 2106.01,1549,1.0,48,112.0,,132.0,319.0
Census Tract 2106.02,2528,,66,171.0,9.0,162.0,1055.0
Census Tract 2107,2003,,128,132.0,19.0,194.0,515.0
Census Tract 2108,795,1.0,36,26.0,3.0,80.0,182.0
Census Tract 2109,1805,2.0,108,112.0,5.0,220.0,460.0
Census Tract 2203,1242,,106,105.0,5.0,149.0,256.0
Census Tract 2204,1588,,63,70.0,5.0,171.0,456.0
Census Tract 2205,1800,,71,119.0,6.0,101.0,626.0
Census Tract 2206.01,929,,74,83.0,2.0,39.0,210.0
Census Tract 2206.02,2434,,189,152.0,3.0,160.0,767.0
Census Tract 2207.01,1076,4.0,72,53.0,2.0,139.0,102.0
Census Tract 2207.02,2119,,242,217.0,3.0,144.0,339.0
Census Tract 2209.01,827,,36,58.0,9.0,69.0,101.0
